Arreplegats,Posició,Engrescats,,Pataquers,,Ganàpies,,Grillats,,Marracos,,Xoriguers,,Bergants,,Llunàtics,,Trempats,
Data,07/05/2026,Data,07/05/2026,Data,07/05/2026,Data,14/05/2026,Data,14/05/2026,Data,14/05/2026,Data,14/05/2026,Data,21/05/2026,Data,21/05/2026,Data,21/05/2026
Arreplegats,2,Engrescats,,Pataquers,4,Ganàpies,2,Grillats,,Marracos,3,Xoriguers,2,Bergants,,Llunàtics,,Trempats,
Descargolats,2,Bergants,,Ganàpies,1,Bergants,4,Descargolats,,Arreplegats,1,Engrescats,1,Descargolats,,Passerells,,Arreplegats,
Emboirats,2,Passerells,,Grillats,2,Pataquers,3,Llunàtics,,Emboirats,2,Passerells,4,Engrescats,,Xoriguers,,Emboirats,
Llunàtics,2,,,Penjats,2,Trempats,1,,,,,Penjats,3,Ganàpies,,Penjats,,Grillats,
Marracos,1,,,Xoriguers,3,,,,,,,,,Pataquers,,Marracos,,Gabirots,
Trempats,2,,,,,,,,,,,,,,,,,,
